num_vehicles,5
num_vehicles_max,5
num_vehicles_step,1
capacity,15
capacity_max,15
capacity_step,1
graph_size,50
graph_size_max,300
graph_size_step,50
graph_variations,5
trials_per_graph,5
stop_duration,40
load_duration,15
timeout,60
ordered_nbhs,"[<function intra_two_opt at 0x00000129A8480790>, <function intra_segment_swap at 0x00000129A8480EE0>, <function inter_two_opt at 0x00000129A8480D30>, <function inter_segment_swap at 0x00000129A8480F70>, <function multi_remove_and_insert_station at 0x00000129A848B700>]"
nbh_change_set,"[<function change_nbh_cyclic at 0x00000129A848B940>, <function change_nbh_pipe at 0x00000129A848B9D0>, <function change_nbh_sequential at 0x00000129A848B8B0>, <function change_nbh_check_all at 0x00000129A848BA60>]"
large_nbhs,"[0.1, 0.15, 0.2, 0.3]"
large_timeout,200
graph_size,graph_instance,num_vehicles,capacity,trial,greedy_cost,vns_cyclic_cost,vns_cyclic_time,vns_pipe_cost,vns_pipe_time,vns_seq_cost,vns_seq_time,vns_all_cost,vns_all_time
150,3,5,15,0,97593,83741,1.84,79270,4.852,87385,1.915,76363,18.973
150,3,5,15,1,102416,80617,4.25,78776,4.189,81307,4.181,80353,17.05
150,3,5,15,2,95879,79742,2.897,82864,1.981,78368,4.815,86955,4.231
150,3,5,15,3,96636,79451,3.363,80319,3.767,84955,2.728,77558,12.89
150,3,5,15,4,98093,80029,2.72,77291,4.183,79371,5.076,78909,14.471
150,4,5,15,0,95659,78534,2.082,74792,4.254,78437,4.708,76035,9.731
150,4,5,15,1,95280,77262,4.602,82479,1.888,82697,3.277,76900,13.419
150,4,5,15,2,94876,77516,3.387,82699,1.561,78505,4.913,79405,7.399
150,4,5,15,3,100018,78470,3.961,78472,3.392,81540,3.321,78959,13.564
150,4,5,15,4,97243,80849,2.534,74176,4.175,77431,5.574,75422,15.555
200,0,5,15,0,119233,113646,1.307,99874,3.534,107442,3.331,102768,18.274
200,0,5,15,1,119085,102096,3.705,99063,4.799,101486,6.519,96382,27.773
200,0,5,15,2,116730,103569,4.824,99789,4.291,103820,4.59,99856,17.009
200,0,5,15,3,114751,95381,9.577,100538,3.792,99287,5.824,98495,11.09
200,0,5,15,4,117066,100381,5.592,101580,3.662,100740,4.246,99759,16.738
200,1,5,15,0,112303,102608,2.568,96840,3.757,99930,3.472,97535,19.112
200,1,5,15,1,114691,98258,2.902,95269,3.647,98123,4.168,98979,17.882
200,1,5,15,2,112263,102813,2.604,107861,1.546,107861,1.949,91347,23.299
200,1,5,15,3,107332,98246,2.373,96956,3.955,96956,4.05,93976,14.69
200,1,5,15,4,113614,97120,4.479,103924,4.843,99201,4.168,100358,14.919
200,2,5,15,0,125332,101853,13.086,101134,5.677,102651,6.947,97724,27.771
200,2,5,15,1,119482,101107,3.391,98958,4.111,104628,4.439,102762,18.876
200,2,5,15,2,121948,100270,6.344,98639,8.348,106451,5.001,101940,13.042
200,2,5,15,3,127852,105908,3.351,96959,8.363,104032,4.475,100848,22.36
200,2,5,15,4,123095,105356,6.475,99592,6.726,100232,10.145,101658,21.579
200,3,5,15,0,122486,100640,4.346,100044,6.318,101489,12.066,100376,27.941
200,3,5,15,1,125712,105746,6.043,107808,2.798,108042,7.099,109995,7.46
200,3,5,15,2,123424,106741,2.67,103239,6.005,107591,6.161,106302,19.626
200,3,5,15,3,124861,102546,8.766,101264,7.099,110856,4.484,105884,26.387
200,3,5,15,4,125260,101535,5.311,108587,5.182,105498,6.852,106671,14.401
200,4,5,15,0,154168,117677,4.883,120481,4.869,119255,7.346,121776,21.392
200,4,5,15,1,153885,121520,8.107,127794,5.68,128007,5.691,128063,12.186
200,4,5,15,2,146507,120829,6.083,116090,6.322,121074,6.4,116457,23.285
200,4,5,15,3,153900,115791,11.703,117538,10.076,119866,8.772,120381,17.361
200,4,5,15,4,152076,124439,4.04,118370,7.04,124542,6.524,119554,13.493
250,0,5,15,0,140089,120272,8.899,120587,10.02,122288,11.674,120065,727.555
250,0,5,15,1,141647,124535,6.534,126007,6.424,120584,9.475,121152,15.836
250,0,5,15,2,144910,135649,1.796,124271,8.279,129324,7.686,134719,8.032
250,0,5,15,3,145527,125640,8.634,119524,10.493,128013,6.488,125477,29.602
250,0,5,15,4,144666,126982,3.6,117897,14.521,120119,8.548,115858,36.902
250,1,5,15,0,148119,128635,4.389,124522,6.703,131374,6.606,119606,36.723
