num_vehicles,5
num_vehicles_max,5
num_vehicles_step,1
capacity,15
capacity_max,15
capacity_step,1
graph_size,50
graph_size_max,350
graph_size_step,50
graph_variations,5
trials_per_graph,5
stop_duration,0
load_duration,0
timeout,60
ordered_nbhs,"[<function intra_two_opt at 0x0000024FE24EE670>, <function intra_segment_swap at 0x0000024FE24EEDC0>, <function inter_segment_swap at 0x0000024FE24EEE50>, <function inter_two_opt at 0x0000024FE24EEC10>]"
nbh_change_set,"[<function change_nbh_cyclic at 0x0000024FE24F9820>, <function change_nbh_pipe at 0x0000024FE24F98B0>, <function change_nbh_sequential at 0x0000024FE24F9790>, <function change_nbh_check_all at 0x0000024FE24F9940>]"
large_nbhs,"[0.1, 0.15, 0.2, 0.3]"
large_timeout,200
graph_size,graph_instance,num_vehicles,capacity,trial,greedy_cost,vns_cyclic_cost,vns_cyclic_time,vns_pipe_cost,vns_pipe_time,vns_seq_cost,vns_seq_time,vns_all_cost,vns_all_time
150,3,5,15,1,69107,50274,1.913,47433,5.848,51159,6.819,48121,6.402
150,3,5,15,2,64947,48346,3.04,49474,3.252,50092,4.935,46694,7.715
150,3,5,15,3,71702,48486,2.836,48136,4.127,48109,6.676,47572,5.663
150,3,5,15,4,67372,49400,1.856,49081,3.773,46697,9.505,49775,3.98
150,4,5,15,0,75748,53507,3.284,54204,3.391,53599,6.285,53387,9.576
150,4,5,15,1,71397,52235,2.867,50222,6.732,52868,6.275,51372,5.508
150,4,5,15,2,74905,52375,3.128,51689,4.095,54229,5.712,53026,5.053
150,4,5,15,3,70349,53495,1.794,51117,3.766,51373,6.378,52815,6.185
150,4,5,15,4,75795,51901,4.432,52132,4.107,53355,6.253,53887,4.06
200,0,5,15,0,84018,62473,5.583,63539,5.63,62109,15.503,62971,7.579
200,0,5,15,1,90079,62371,4.742,62719,10.49,63251,12.21,63981,6.823
200,0,5,15,2,86304,60114,3.781,63320,7.747,60427,15.288,63188,7.73
200,0,5,15,3,87626,63886,4.122,62922,6.266,65001,7.878,61075,12.412
200,0,5,15,4,86776,64724,3.469,61806,7.017,62052,17.22,61507,11.85
200,1,5,15,0,81466,57017,5.221,56680,7.715,57205,12.177,56595,15.209
200,1,5,15,1,79991,58190,7.398,59730,4.553,58823,17.473,58255,8.61
200,1,5,15,2,81903,59213,3.787,60015,6.969,57276,14.953,58201,10.721
200,1,5,15,3,76550,55962,3.818,56212,6.612,56600,8.976,55995,10.036
200,1,5,15,4,81778,59209,4.537,57773,6.933,60604,8.887,58012,9.082
200,2,5,15,0,88191,63573,5.816,64228,6.527,60804,14.67,60381,15.762
200,2,5,15,1,95054,63921,4.365,64291,5.562,60231,14.481,63424,8.608
200,2,5,15,2,94990,64070,4.921,62213,8.46,64547,14.436,62693,9.87
200,2,5,15,3,91798,61070,6.175,62721,6.911,63294,15.011,64012,10.133
200,2,5,15,4,89054,62961,5.236,61581,9.755,66657,9.419,61828,14.42
200,3,5,15,0,94106,67227,3.652,64676,8.63,65115,14.039,65738,9.527
200,3,5,15,1,94309,66009,6.264,65034,8.229,65343,13.106,64500,15.247
200,3,5,15,2,94282,65649,5.407,66634,11.07,66224,15.575,67542,10.084
200,3,5,15,3,96976,65767,6.477,68076,8.787,66173,16.32,65824,10.72
200,3,5,15,4,98012,64945,5.936,67295,7.748,67636,13.224,68021,13.688
200,4,5,15,0,116602,85557,5.314,83069,9.998,81987,18.843,86911,6.217
200,4,5,15,1,117229,87141,3.792,86322,6.14,84555,12.363,84282,8.708
200,4,5,15,2,124754,84593,4.693,84584,7.323,85109,13.723,85568,12.28
200,4,5,15,3,117349,85370,4.344,85456,9.114,86537,15.127,84183,12.351
200,4,5,15,4,120450,83668,7.355,84251,8.794,85416,12.955,83244,11.796
